0,Right Forearm,-2.2696916015624997,-18.167109570312498,35.6542693359375,0.052729034423828126,0.8894695705837674,0.10892007615831163
0,Right Upper Arm,-2.2696916015624997,-18.167109570312498,35.6542693359375,0.052729034423828126,0.8894695705837674,0.10892007615831163
1,Right Forearm,-3.3710187499999997,-17.2668943359375,35.7308833984375,0.14061075846354168,0.10266183217366537,-0.02316881815592448
1,Right Upper Arm,-3.3710187499999997,-17.2668943359375,35.7308833984375,0.14061075846354168,0.10266183217366537,-0.02316881815592448
2,Right Forearm,-7.5943689453125,-14.623709179687499,34.782784375,-0.01691057417127821,0.5481955422295465,0.0769630855984158
2,Right Upper Arm,-7.5943689453125,-14.623709179687499,34.782784375,-0.01691057417127821,0.5481955422295465,0.0769630855984158
3,Right Forearm,-7.2879126953124995,-17.3435083984375,37.5121603515625,-0.12676272922092013,0.5387415991889106,0.07323477003309461
3,Right Upper Arm,-7.2879126953124995,-17.3435083984375,37.5121603515625,-0.12676272922092013,0.5387415991889106,0.07323477003309461
4,Right Forearm,-9.6437951171875,-16.97001484375,33.40373125,-0.1151783201429579,0.29773262871636286,0.10585753122965495
4,Right Upper Arm,-9.6437951171875,-16.97001484375,33.40373125,-0.1151783201429579,0.29773262871636286,0.10585753122965495
5,Right Forearm,-14.3938669921875,-16.1368369140625,29.630488671875,-0.45605288611518013,0.8262213601006402,0.07123745812310113
5,Right Upper Arm,-14.3938669921875,-16.1368369140625,29.630488671875,-0.45605288611518013,0.8262213601006402,0.07123745812310113
6,Right Forearm,-17.16155,-18.8757896484375,32.781241992187496,-0.2286256366305881,0.4555202696058485,0.11664301554361979
6,Right Upper Arm,-17.16155,-18.8757896484375,32.781241992187496,-0.2286256366305881,0.4555202696058485,0.11664301554361979
7,Right Forearm,-15.409003320312499,-20.53256875,32.225790039062495,-0.08681649102105035,-0.44886256323920354,0.1355509016248915
7,Right Upper Arm,-15.409003320312499,-20.53256875,32.225790039062495,-0.08681649102105035,-0.44886256323920354,0.1355509016248915
8,Right Forearm,-15.409003320312499,-20.53256875,32.225790039062495,-0.08681649102105035,-0.44886256323920354,0.1355509016248915
8,Right Upper Arm,-15.409003320312499,-20.53256875,32.225790039062495,-0.08681649102105035,-0.44886256323920354,0.1355509016248915
9,Right Forearm,-15.409003320312499,-20.53256875,32.225790039062495,-0.08681649102105035,-0.44886256323920354,0.1355509016248915
9,Right Upper Arm,-15.409003320312499,-20.53256875,32.225790039062495,-0.08681649102105035,-0.44886256323920354,0.1355509016248915
10,Right Forearm,-15.409003320312499,-20.53256875,32.225790039062495,-0.08681649102105035,-0.44886256323920354,0.1355509016248915
10,Right Upper Arm,-15.409003320312499,-20.53256875,32.225790039062495,-0.08681649102105035,-0.44886256323920354,0.1355509016248915
11,Right Forearm,-15.409003320312499,-20.53256875,32.225790039062495,-0.08681649102105035,-0.44886256323920354,0.1355509016248915
11,Right Upper Arm,-15.409003320312499,-20.53256875,32.225790039062495,-0.08681649102105035,-0.44886256323920354,0.1355509016248915
12,Right Forearm,-15.409003320312499,-20.53256875,32.225790039062495,-0.08681649102105035,-0.44886256323920354,0.1355509016248915
12,Right Upper Arm,-15.409003320312499,-20.53256875,32.225790039062495,-0.08681649102105035,-0.44886256323920354,0.1355509016248915
13,Right Forearm,-15.409003320312499,-20.53256875,32.225790039062495,-0.08681649102105035,-0.44886256323920354,0.1355509016248915
13,Right Upper Arm,-15.409003320312499,-20.53256875,32.225790039062495,-0.08681649102105035,-0.44886256323920354,0.1355509016248915
14,Right Forearm,-15.409003320312499,-20.53256875,32.225790039062495,-0.08681649102105035,-0.44886256323920354,0.1355509016248915
14,Right Upper Arm,-15.409003320312499,-20.53256875,32.225790039062495,-0.08681649102105035,-0.44886256323920354,0.1355509016248915
15,Right Forearm,-15.409003320312499,-20.53256875,32.225790039062495,-0.08681649102105035,-0.44886256323920354,0.1355509016248915
15,Right Upper Arm,-15.409003320312499,-20.53256875,32.225790039062495,-0.08681649102105035,-0.44886256323920354,0.1355509016248915
16,Right Forearm,-15.409003320312499,-20.53256875,32.225790039062495,-0.08681649102105035,-0.44886256323920354,0.1355509016248915
16,Right Upper Arm,-15.409003320312499,-20.53256875,32.225790039062495,-0.08681649102105035,-0.44886256323920354,0.1355509016248915
17,Right Forearm,-2.3486998535156247,-5.645498730468749,8.17376279296875,-0.11837401919894748,0.06058512793646918,-0.00945394304063585
17,Right Upper Arm,-2.3486998535156247,-5.645498730468749,8.17376279296875,-0.11837401919894748,0.06058512793646918,-0.00945394304063585
18,Right Forearm,-1.9608411621093749,-5.6335277832031245,7.80026923828125,-0.08708279927571616,-0.18495108286539713,0.08268871307373046
18,Right Upper Arm,-1.9608411621093749,-5.6335277832031245,7.80026923828125,-0.08708279927571616,-0.18495108286539713,0.08268871307373046
19,Right Forearm,-1.66156748046875,-5.956743359374999,7.893642626953125,-0.1545919418334961,-0.06750914255777994,0.05539211697048611
19,Right Upper Arm,-1.66156748046875,-5.956743359374999,7.893642626953125,-0.1545919418334961,-0.06750914255777994,0.05539211697048611
20,Right Forearm,-2.0398494140625,-6.445158007812499,8.109119677734375,-0.0007989247639973958,0.37309786478678386,0.029427062140570746
20,Right Upper Arm,-2.0398494140625,-6.445158007812499,8.109119677734375,-0.0007989247639973958,0.37309786478678386,0.029427062140570746
21,Right Forearm,-1.991965625,-6.3469962402343745,8.25995361328125,0.06258243984646267,0.3463338851928711,-0.1138467788696289
21,Right Upper Arm,-1.991965625,-6.3469962402343745,8.25995361328125,0.06258243984646267,0.3463338851928711,-0.1138467788696289
