-0.49033,-3.1381,8.7279,30.02,-19.11,6.64,-100,409,-493
0.39227,-4.7072,9.6105,9.47,41.03,-48.56,-62,422,-497
0.68647,-4.9033,8.826,0.58,78.59,-64.25,12,409,-477
-1.7652,-4.6091,8.826,-13.79,52.21,-71.56,83,366,-468
-3.4323,-3.8246,7.5511,-2.36,31.63,-113.47,92,319,-489
-4.0207,-3.4323,6.9627,-21.35,17.19,-108.12,96,304,-469
-4.1188,-4.3149,6.2763,-49.39,43.82,-110.5,75,294,-467
-3.8246,-6.0801,7.1589,-22.14,98.79,-92.77,51,287,-465
-2.942,-6.4724,6.1782,-43.46,99.78,-54.56,4,247,-435
-2.8439,-7.7473,6.0801,-48.91,22.54,-58.07,-28,230,-403
-1.2749,-9.0221,5.7859,-20.15,22.79,-42.27,-63,215,-373
-0.2942,-8.2376,5.6879,0.37,-28.45,-23.07,-104,235,-365
0.49033,-8.6299,4.2169,2.11,-63.85,-8.01,-105,244,-351
1.1768,-8.0415,4.5111,2.14,16.4,-18.5,-117,293,-355
1.2749,-8.5318,4.413,2.35,9.79,-6.22,-111,318,-365
1.1768,-8.4337,5.0014,-0.15,4.87,-6.98,-115,305,-375
1.2749,-8.4337,4.9033,1.5,13.57,-3.89,-110,322,-366
1.1768,-8.4337,4.5111,2.22,3.58,8.07,-105,317,-362
1.1768,-8.3357,4.6091,0.77,7.46,1.96,-119,305,-362
0.8826,-8.4337,4.7072,-1.3,15.96,11.23,-113,302,-363
0.5884,-8.5318,4.7072,0.4,9.33,16.31,-112,296,-362
0.39227,-8.5318,4.7072,-2.81,5.12,5.34,-112,272,-362
0.098067,-8.5318,4.7072,-1.17,5.81,4.29,-117,272,-364
-0,-8.5318,4.6091,-0.54,3.71,7.22,-117,260,-357
0,-8.5318,4.6091,-2.18,-1.37,-0.47,-119,263,-357
0,-8.5318,4.5111,-0.8,4.76,-1.79,-111,259,-356
-0.098067,-8.6299,4.5111,-2.62,3.09,5.54,-109,252,-356
-0.2942,-8.826,4.7072,-3.31,17.51,1.25,-109,245,-347
-0.39227,-8.5318,5.2956,-0.83,-8.32,7,-107,248,-351
-0.8826,-8.3357,4.413,-1.66,5.34,-0.51,-105,241,-355
-0.098067,-8.5318,3.7265,-27.95,24.47,7.84,-120,243,-340
0.19613,-8.2376,6.2763,-35.37,3.84,13.32,-113,233,-338
-1.5691,-9.4144,3.0401,-10.37,-22.49,2.81,-132,221,-315
-0.98067,-8.826,2.942,-9.95,-19.4,2.01,-138,222,-310
-0.98067,-9.3163,3.0401,-2.87,-28.48,1.11,-147,230,-303
-0.39227,-9.1202,2.6478,-4.11,-33.53,8.68,-145,244,-317
-0.5884,-9.1202,2.5497,-9.91,-28.39,8.7,-150,253,-321
-0.68647,-9.6105,2.5497,-5.52,-0.19,-0.6,-147,258,-314
-0.78453,-9.5125,2.6478,-1.16,-14.6,2.98,-145,258,-319
-0.78453,-8.9241,2.5497,6.98,-1.73,17.73,-146,264,-320
-1.2749,-9.2183,2.8439,17.87,10.33,8.64,-147,260,-317
-0.8826,-9.8066,3.0401,7.61,12.89,-15.79,-138,255,-317
-0.68647,-8.4337,3.2362,-2.85,-9.27,10.92,-123,247,-331
-0.98067,-9.1202,3.1381,-0.31,5.3,8.16,-133,237,-330
-2.0594,-9.1202,3.9227,1.37,-8.81,-8.98,-123,243,-327
-2.0594,-8.4337,3.7265,2.82,-7.44,10.18,-135,240,-327
-1.2749,-8.9241,3.4323,6.89,9.47,-15.83,-131,239,-335
-1.0787,-8.9241,3.3343,2.02,-14.64,2.96,-126,244,-328
-0.8826,-8.9241,3.1381,0.27,-6.69,-1.27,-126,251,-346
-1.1768,-9.0221,3.6285,-1.54,6.19,-8.63,-115,246,-344
-1.1768,-8.9241,3.6285,-1.91,3.98,-1.37,-132,250,-340
-1.1768,-9.1202,3.6285,-1.24,-0.38,-5.43,-119,241,-337
-1.1768,-8.826,3.4323,-0.9,-6.47,7.5,-117,255,-339
-1.2749,-8.826,3.3343,-1.09,-4.66,3.65,-125,254,-338
-1.3729,-9.0221,3.5304,0.99,-4.51,1.76,-131,246,-346
-1.0787,-8.9241,3.7265,2.89,5.21,-6.42,-125,247,-340
-0.8826,-8.9241,3.7265,2.79,-7.24,1.17,-139,247,-336
-1.0787,-8.9241,3.4323,3.7,-8.38,1.43,-127,254,-340
-1.0787,-8.9241,3.6285,1.6,1.63,-2.9,-122,253,-344
-1.0787,-8.7279,3.6285,-0.74,3.32,-2.33,-124,260,-337
-0.98067,-8.826,3.7265,-2.18,-1.16,-3.14,-133,263,-344
-0.98067,-8.9241,3.5304,-0.57,-0.34,0.52,-119,260,-346
-0.98067,-8.9241,3.6285,-0.79,7.51,-6.3,-132,266,-343
-0.78453,-8.9241,3.6285,0.79,8.37,-7.32,-131,265,-335
-0.78453,-8.9241,3.6285,1.78,4.89,-2.76,-123,259,-343
-0.8826,-8.9241,3.6285,1.18,1.72,-2.69,-127,271,-345
-0.68647,-9.0221,3.5304,1.77,7.54,-5.15,-130,264,-340
-0.8826,-8.826,3.6285,1.49,7.62,-5.22,-129,267,-344
-0.68647,-8.9241,3.7265,2.16,7.92,-1.15,-127,261,-343
-0.78453,-9.0221,3.7265,0.92,4.02,-1.64,-124,260,-335
-0.78453,-8.9241,3.7265,-0.56,-1.97,-3.03,-129,255,-348
-0.8826,-8.9241,3.7265,2.79,-5.68,1.52,-124,253,-337
-0.8826,-8.826,3.6285,6.07,-1.41,6.08,-123,257,-340
-0.5884,-8.9241,3.9227,6.11,0.54,-1.44,-126,270,-341
-0.68647,-8.7279,3.9227,4.02,2.09,-1.83,-123,261,-352
-0.5884,-8.826,4.0207,0.63,-0.4,-8.1,-115,253,-353
-0.68647,-8.7279,4.0207,-0.4,7.48,-5.02,-115,263,-357
-0.49033,-8.7279,4.0207,0.53,6.95,-3.4,-117,277,-351
-0.68647,-8.7279,3.9227,-0.33,10.52,-3.11,-119,265,-351
